run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
1,altitude_km,200.0,4.0,0.03,2.2,60.6060606060606,0.0165,200.0,0.001,51.6,45.0,0.0,0.9965690932321716,True,87599.82327476167,24.333284242989354,1.0138868434578898,-30328294.706363674,-62420042.0847321,32091747.378368426,197.26067192853034,1942.4972989945672
2,altitude_km,211.42857142857142,4.0,0.03,2.2,60.6060606060606,0.0165,211.42857142857142,0.001,51.6,45.0,0.0,0.9965470970841003,True,137842.2958046997,38.28952661241659,1.5953969421840244,-30275588.015135698,-62419999.64255844,32144411.627422743,132.52411725143182,2447.5187319912948
3,altitude_km,222.85714285714286,4.0,0.03,2.2,60.6060606060606,0.0165,222.85714285714286,0.001,51.6,45.0,-9.313225746154785e-13,0.9965411833294926,True,207072.4455350328,57.520123759731334,2.396671823322139,-30223064.38475574,-62419988.23180571,32196923.84704997,92.98609041442774,3235.630342969671
4,altitude_km,234.28571428571428,4.0,0.03,2.2,60.6060606060606,0.0165,234.28571428571428,0.001,51.6,45.0,-9.313225746154785e-13,0.9980951289624533,True,301238.12534715637,83.67725704087677,3.4865523767031985,-30170722.862222526,-62422986.606048,32252263.743825477,67.19695819032847,4276.362297008745
5,altitude_km,245.71428571428572,4.0,0.03,2.2,60.6060606060606,0.0165,245.71428571428572,0.001,51.6,45.0,-9.313225746154785e-13,0.9975481134299964,True,429329.7483306694,119.25826342518594,4.969094309382748,-30118562.501144703,-62421931.12840808,32303368.62726338,49.44850518339404,5890.923291968647
6,altitude_km,257.1428571428571,4.0,0.03,2.2,60.6060606060606,0.0165,257.1428571428571,0.001,51.6,45.0,0.0,0.9975401765962195,True,603543.7223959947,167.6510339988874,6.985459749953642,-30066582.36168365,-62421915.814112544,32355333.452428892,36.811157224771584,7192.696212034207
7,altitude_km,268.57142857142856,4.0,0.03,2.2,60.6060606060606,0.0165,268.57142857142856,0.001,51.6,45.0,-9.313225746154785e-13,0.9976075194092653,True,833319.2787474797,231.47757742985547,9.64489905957731,-30014781.510496873,-62422045.75353981,32407264.243042935,27.845955350329987,9363.206992042251
8,altitude_km,280.0,4.0,0.03,2.2,60.6060606060606,0.0165,280.0,0.001,51.6,45.0,-3.725290298461914e-12,0.9980416643998007,True,1128515.9653576207,313.4766570437835,13.061527376824314,-29963159.020681772,-62422883.44515716,32459724.42447539,21.437002880445743,15386.295734962914
9,altitude_km,291.42857142857144,4.0,0.03,2.2,60.6060606060606,0.0165,291.42857142857144,0.001,51.6,45.0,0.0,0.9977805391534035,True,1507763.6542112303,418.82323728089733,17.45096822003739,-29911713.971720286,-62422379.59879456,32510665.62707427,16.699851134560546,18874.07532997895
10,altitude_km,302.85714285714283,4.0,0.03,2.2,60.6060606060606,0.0165,302.85714285714283,0.001,51.6,45.0,2.7939677238464356e-12,0.9983105094854481,True,1994975.9150256864,554.159976396024,23.089999016501,-29860445.44942389,-62423402.18670285,32562956.737278957,13.116377468907933,23330.207582039293
11,altitude_km,314.2857142857143,4.0,0.03,2.2,60.6060606060606,0.0165,314.2857142857143,0.001,51.6,45.0,164.1046911642803,0.000610459470516786,False,2592000.0,720.0,30.0,-29809352.54587925,-30458751.38305036,649398.8371711113,5.006034104047799,28270.769549999386
12,altitude_km,325.7142857142857,4.0,0.03,2.2,60.6060606060606,0.0165,325.7142857142857,0.001,51.6,45.0,260.6568456681976,0.0007339868434431158,False,2592000.0,720.0,30.0,-29758434.35939444,-30022994.72012149,264560.36072705314,2.168581334869604,28771.544913004618
13,altitude_km,337.1428571428571,4.0,0.03,2.2,60.6060606060606,0.0165,337.1428571428571,0.001,51.6,45.0,289.5998772364864,0.0004083899973969349,False,2592000.0,720.0,30.0,-29707689.994445655,-29885171.33222918,177481.3377835229,1.5847659968790235,33895.07227001013
14,altitude_km,348.57142857142856,4.0,0.03,2.2,60.6060606060606,0.0165,348.57142857142856,0.001,51.6,45.0,313.0288235050915,0.0008833838089938708,False,2592000.0,720.0,30.0,-29657118.561624516,-29787753.39854541,130634.83692089468,1.1847535022112348,27833.00020499155
15,altitude_km,360.0,4.0,0.03,2.2,60.6060606060606,0.0165,360.0,0.001,51.6,45.0,332.10867015745305,0.0008162652319717467,False,2592000.0,720.0,30.0,-29606719.17758597,-29705711.778871503,98992.60128553212,0.929710994751565,33470.80691496376
16,altitude_km,371.42857142857144,4.0,0.03,2.2,60.6060606060606,0.0165,371.42857142857144,0.001,51.6,45.0,348.00735657184384,0.000726052573549377,False,2592000.0,720.0,30.0,-29556490.964996587,-29632663.81688617,76172.85188958421,0.78070716189092,32024.94493202539
17,altitude_km,382.8571428571429,4.0,0.03,2.2,60.6060606060606,0.0165,382.8571428571429,0.001,51.6,45.0,361.4680481058387,0.00041096316230773326,False,2592000.0,720.0,30.0,-29506433.05248351,-29565648.384213082,59215.331729572266,0.7129698250434728,32127.570124983322
18,altitude_km,394.2857142857143,4.0,0.03,2.2,60.6060606060606,0.0165,394.2857142857143,0.001,51.6,45.0,377.31149269512764,0.000423390984803567,False,2592000.0,720.0,30.0,-29456544.574583773,-29502949.030736472,46404.45615269989,0.565807386352888,28978.739193989895
19,altitude_km,405.71428571428567,4.0,0.03,2.2,60.6060606060606,0.0165,405.71428571428567,0.001,51.6,45.0,391.26713219900336,0.0007728588089816009,False,2592000.0,720.0,30.0,-29406824.67169444,-29443405.961813048,36581.290118608624,0.48157178384274363,27488.370653998572
20,altitude_km,417.1428571428571,4.0,0.03,2.2,60.6060606060606,0.0165,417.1428571428571,0.001,51.6,45.0,401.726292350838,0.00043991234722792267,False,2592000.0,720.0,30.0,-29357272.490022827,-29386604.8780539,29332.388031072915,0.5138854930673044,30056.429762975313
21,altitude_km,428.57142857142856,4.0,0.03,2.2,60.6060606060606,0.0165,428.57142857142856,0.001,51.6,45.0,417.3266740014516,0.000795195073750802,False,2592000.0,720.0,30.0,-29307887.181537565,-29331688.371433128,23801.189895562828,0.37482515233256586,27616.98097898625
22,altitude_km,440.0,4.0,0.03,2.2,60.6060606060606,0.0165,440.0,0.001,51.6,45.0,429.1261828558836,0.0005742747439749608,False,2592000.0,720.0,30.0,-29258667.903920043,-29278020.735997133,19352.832077089697,0.3624605714705467,60824.0987379686
23,altitude_km,451.42857142857144,4.0,0.03,2.2,60.6060606060606,0.0165,451.42857142857144,0.001,51.6,45.0,441.58950690291636,0.0002639258351864888,False,2592000.0,720.0,30.0,-29209613.820516307,-29225375.295639113,15761.475122805685,0.3279688175218363,35133.014189021196
24,altitude_km,462.85714285714283,4.0,0.03,2.2,60.6060606060606,0.0165,462.85714285714283,0.001,51.6,45.0,452.72150061009637,0.0006660088513778862,False,2592000.0,720.0,30.0,-29160724.100289445,-29173617.356493995,12893.256204549223,0.33785474156821543,28672.286093002185
