run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
1,drag_area,0.03,4.0,0.03,2.2,60.6060606060606,0.0165,300.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9973259863101452,True,1861009.7655701984,516.9471571028329,21.539464879284704,-29873246.080381397,-62421502.5290945,32548256.448713105,13.927922614666343,145730.8621740085
2,drag_area,0.04421052631578947,4.0,0.04421052631578947,2.2,41.125541125541126,0.02431578947368421,300.0,0.001,51.6,45.0,2.7939677238464356e-12,0.9965700127267424,True,1263736.2821876237,351.0378561632288,14.626577340134533,-29873246.080381397,-62420203.273257226,32546957.19287583,20.510608396183947,119064.43508499069
3,drag_area,0.05842105263157894,4.0,0.05842105263157894,2.2,31.12203112203112,0.03213157894736842,300.0,0.001,51.6,45.0,-1.862645149230957e-12,0.9971420799978452,True,957026.3107091378,265.8406418636494,11.076693410985392,-29873246.080381397,-62421388.08441596,32548142.00403456,27.083894883510514,94077.16758199967
4,drag_area,0.07263157894736842,4.0,0.07263157894736842,2.2,25.032938076416336,0.039947368421052634,300.0,0.001,51.6,45.0,9.313225746154785e-13,0.9981731419300715,True,770347.166007943,213.98532389109528,8.91605516212897,-29873246.080381397,-62423425.73091604,32550179.65053464,33.64716733407527,76525.82302002702
5,drag_area,0.08684210526315789,4.0,0.08684210526315789,2.2,20.9366391184573,0.04776315789473684,300.0,0.001,51.6,45.0,9.313225746154785e-13,0.9984869734067061,True,644760.0246628637,179.10000685079547,7.462500285449812,-29873246.080381397,-62424063.930547506,32550817.85016611,40.20100348738763,64605.67510104738
6,drag_area,0.10105263157894737,4.0,0.10105263157894737,2.2,17.992424242424242,0.055578947368421054,300.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9965395883402884,True,554511.3791442048,154.030938651168,6.417955777132,-29873246.080381397,-62420332.970491886,32547086.89011049,46.74385589706608,59378.70906799799
7,drag_area,0.11526315789473685,4.0,0.11526315789473685,2.2,15.774180157741801,0.06339473684210527,300.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9981281784407349,True,486497.3255951118,135.13814599864216,5.630756083276757,-29873246.080381397,-62423413.76998792,32550167.68960652,53.27881292727196,54978.21502602892
8,drag_area,0.1294736842105263,4.0,0.1294736842105263,2.2,14.042867701404287,0.07121052631578947,300.0,0.001,51.6,45.0,0.0,0.9966909766722897,True,433456.6510833417,120.40462530092825,5.016859387538677,-29873246.080381397,-62420656.900753446,32547410.82037205,59.79836723053606,53075.35714301048
9,drag_area,0.1436842105263158,4.0,0.1436842105263158,2.2,12.654012654012652,0.0790263157894737,300.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9966351642539861,True,390917.71142577333,108.58825317382593,4.524510548909413,-29873246.080381397,-62420560.561882906,32547314.48150151,66.30551454285211,46047.64337098459
10,drag_area,0.15789473684210525,4.0,0.15789473684210525,2.2,11.515151515151514,0.0868421052631579,300.0,0.001,51.6,45.0,0.0,0.9966284763202404,True,356018.0577491682,98.8939049303245,4.120579372096854,-29873246.080381397,-62420556.90216291,32547310.821781512,72.8052957871645,45237.25294304313
11,drag_area,0.17210526315789473,4.0,0.17210526315789473,2.2,10.564359188212398,0.09465789473684211,300.0,0.001,51.6,45.0,0.0,0.9973599491290652,True,326895.6504511612,90.80434734754478,3.7835144728143657,-29873246.080381397,-62421974.75375588,32548728.673374485,79.29135785143306,45308.822009013966
12,drag_area,0.1863157894736842,4.0,0.1863157894736842,2.2,9.75860297894196,0.10247368421052633,300.0,0.001,51.6,45.0,0.0,0.99654454879376,True,302220.6218034183,83.95017272317176,3.49792386346549,-29873246.080381397,-62420409.345111296,32547163.2647299,85.7651600520492,41152.84736297326
13,drag_area,0.2005263157894737,4.0,0.2005263157894737,2.2,9.067048437127177,0.11028947368421053,300.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9968455237071349,True,281049.25297568465,78.06923693769018,3.2528848724037576,-29873246.080381397,-62420995.1595062,32547749.079124805,92.2258277706313,38830.784149002284
14,drag_area,0.21473684210526317,4.0,0.21473684210526317,2.2,8.467023172905524,0.11810526315789475,300.0,0.001,51.6,45.0,0.0,0.9977661758159595,True,262681.92143420497,72.96720039839028,3.0403000165995944,-29873246.080381397,-62422774.79816805,32549528.71778665,98.67447237510896,36962.19074196415
15,drag_area,0.22894736842105262,4.0,0.22894736842105262,2.2,7.941483803552768,0.12592105263157896,300.0,0.001,51.6,45.0,9.313225746154785e-13,0.9977669342692711,True,246595.45747904957,68.49873818862488,2.854114091192703,-29873246.080381397,-62422780.497369654,32549534.416988257,105.11142526703702,33683.94563102629
16,drag_area,0.24315789473684213,4.0,0.24315789473684213,2.2,7.4773711137347485,0.13373684210526318,300.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9965532732214173,True,232384.29556382462,64.5511932121735,2.6896330505072292,-29873246.080381397,-62420444.6511383,32547198.5707569,111.53937892881889,32135.90044697048
17,drag_area,0.2573684210526316,4.0,0.2573684210526316,2.2,7.064510131994794,0.14155263157894737,300.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9977230607550949,True,219775.91198673332,61.04886444075925,2.5437026850316355,-29873246.080381397,-62422702.9919337,32549456.911552306,117.93831164520309,30766.715880017728
18,drag_area,0.27157894736842103,4.0,0.27157894736842103,2.2,6.694855532064835,0.14936842105263157,300.0,0.001,51.6,45.0,0.0,0.996583003872557,True,208463.5725757469,57.90654793770747,2.4127728307378113,-29873246.080381397,-62420508.3018166,32547262.2214352,124.3382701338948,30066.06974202441
19,drag_area,0.2857894736842105,4.0,0.2857894736842105,2.2,6.361962163067136,0.1571842105263158,300.0,0.001,51.6,45.0,0.0,0.9975987259879701,True,198295.62417160737,55.082117825446495,2.295088242726937,-29873246.080381397,-62422468.978435,32549222.898053605,130.71392829913648,25096.34312900016
20,drag_area,0.30000000000000004,4.0,0.30000000000000004,2.2,6.06060606060606,0.16500000000000004,300.0,0.001,51.6,45.0,9.313225746154785e-13,0.9972732808265142,True,189058.16014534765,52.5161555959299,2.1881731498304124,-29873246.080381397,-62421844.06009982,32548597.97971842,137.10066775257235,22682.969484012574
